Input Decimal,Input Binario,Resultado Binario,Resultado Decimal,Tiempo Ejecucion (ms)
202,11001010,10000110111010100010001000111000001111111001000001110010011011101011011101000010010000001101010000100011011111010000011010110011100110110111,734544867157818093234908902110449296423351,196.4411735534668
203,11001011,11011010010010111101111111001010101111010101010111111001110101011001110110010101011110110010101110001110101111000001101111101000111111011001,1188518561323126046432205871807859915657177,187.11113929748535
204,11001100,101100001001101100000001000000010111111001110011001101100010001000101010011010111101110111111111110110010001110010010001010011100100110010000,1923063428480944139667114773918309212080528,203.1543254852295
205,11001101,1000111011100000011110000111001101101110100011110001100110000110011111001001101101001101110010101101000000111101010011111010000101100101101001,3111581989804070186099320645726169127737705,200.0117301940918
206,11001110,1110011100101101111110001111010000101101110010001011010010010111100100011101000100111100110010101011110011001011100110000100100010001011111001,5034645418285014325766435419644478339818233,197.93963432312012
207,11001111,10111011000001110011100010110011110011100010101111100111000011110000011100110110010001010100101011000110100001000111001111110100111110001100010,8146227408089084511865756065370647467555938,228.51967811584473
208,11010000,100101110100111100011010100101101111001010001000001000001010110101101000000011110111000111011000000100100111010100100000000011001001111101011011,13180872826374098837632191485015125807374171,213.37246894836426
209,11010001,111101001101001010110110111100001101100110011110000101000011010011101011101010101001010001111101011101011011011101011010000001110001101110111101,21327100234463183349497947550385773274930109,229.9211025238037
210,11010010,1100011000010000111010001100001111100110000100110001101001110001001010011101110100000011001010101100010000010110001111010000100111011101100011000,34507973060837282187130139035400899082304280,218.22500228881836
211,11010011,10100000001111010010001000011110001010010111000100010010010001011100111111011001001001101011010010111111011110001111010100000110101101011011010101,55835073295300465536628086585786672357234389,220.72935104370117
212,11010100,100000011010001011001011010000000000111000111101010011111011111100110010011000111101010000100101000100001100001000001001110001011101001000111101101,90343046356137747723758225621187571439538669,222.43189811706543
213,11010101,110100011100000101011100010011110010001011110101110110001110001000011010010100000110011101111111011100000111111010000100010010010010110100011000010,146178119651438213260386312206974243796773058,229.08735275268555
214,11010110,1010100110110010000100111100011110011000100110011001010001010000101001100101101000011101110100100100000010100000010001110000011101111111101010101111,236521166007575960984144537828161815236311727,257.0350170135498
215,11010111,10001001010010010110000011110111100101010000101001000000011000001101100111000001001010001100100011111100011011111100010010010110000010110001101110001,382699285659014174244530850035136059033084785,227.28300094604492
216,11011000,11011110001000100110101011011011011000010101011100001010100010010010110011101110001101111011001000011100101111111110100000011001110010101111000100000,619220451666590135228675387863297874269396512,243.1163787841797
217,11011001,101100111011010111100101111010010111101100110000101001010111010100000011010101111011000000111101100011001001011111010110010101111110101100000110010001,1001919737325604309473206237898433933302481297,240.79132080078125
218,11011010,1001000101100011100011011010101110010101111011100001010101011100110011001110011101100110000010110100110101111011111001010011001001101000001111110110001,1621140188992194444701881625761731807571877809,240.7209873199463
219,11011011,1110101100111110100000001010000001010011100001100110100000010111010011101001001100111110001010100001001111000111110100000101111001011101110000101000010,2623059926317798754175087863660165740874359106,267.66371726989746
220,11011100,10111110010100010000011100100101111101001011101000111110101110100000110110111101010100100001101010110000101000011101101011001000011000110000000011110011,4244200115309993198876969489421897548446236915,257.95555114746094
221,11011101,100110011111100000100011101110110000111100111110101110010110001011011010100000110111100010010111110111010100001011100001011110111100100011110001000110101,6867260041627791953052057353082063289320596021,268.16654205322266
222,11011110,111110010010000010100111010011100000100110011011110110001011111111100001011000100010000110100101001101011001001111001110110111111111101001110001100101000,11111460156937785151929026842503960837766832936,274.84655380249023
223,11011111,1100100110001100011001011000010010001100011011010100100100010001010111011111001011001101000111101000100101101011010110000010110111100001101100010101011101,17978720198565577104981084195586024127087428957,256.8209171295166
224,11100000,10100011000011100101110010010101110010001001110110011010101110001010011101010001111011101111100010010010000110101001111111001110111011110111010100010000101,29090180355503362256910111038089984964854261893,259.7765922546387
225,11100001,100000111110101001000111101011000000011101101010000111111010000010101011001001011010101011000011111010110110100000100101111100101111000000100110110111100010,47068900554068939361891195233676009091941690850,256.8624019622803
226,11100010,110101010111000101110101111101101110101110111000111011001111110011111110110011101010001001000000001101000111010101110101110110100110011111100001011001100111,76159080909572301618801306271765994056795952743,263.6220455169678
227,11100011,1010110010101101110111101101000101111001100100011000011001001110110101001111101000100110100000100000111111101110110011011110011010101100000001000010001001001,123227981463641240980692501505442003148737643593,313.50183486938477
228,11100100,10001011101100110100110011100110011101111011011011111110011001101010101000110000101110111101000100010101000101001100010001101001111011111111101001101010110000,199387062373213542599493807777207997205533596336,263.78440856933594
229,11100101,11100010000010100011110001001111001101000111111111000001100011100001010010101101110011110001001000011101000011000010101101011101010001011111110001111011111001,322615043836854783580186309282650000354271239929,282.2728157043457
230,11100110,101101101101111011000100100110101101011000011011010111111111101001011111011011110100010101110001100110010001000001110111111000111001101011111011011100110101001,522002106210068326179680117059857997559804836265,277.0712375640869
231,11100111,1001001111110001111100010110000100111000001011011010000001100000101101001110001100010110011111010101001111001011010001101100100100011110111111001101100010100010,844617150046923109759866426342507997914076076194,282.52696990966797
232,11101000,1110111101100001010100111010111010100011001110110101000001011101111001001001101010111001001101100010000001010011100000101011101011101100011110101001001001001011,1366619256256991435939546543402365995473880912459,277.50635147094727
233,11101001,11000001101010011010001010000111111011011011010001111000010111110100110010111110111001111101100110111010000011110110010011000010000001011011101110110101011101101,2211236406303914545699412969744873993387956988653,287.8375053405762
234,11101010,100111001010110100100110001011111001111110101001000100000100011100011111100001100010001000111010011001010001110010010011000011111011110111111100011111110100111000,3577855662560905981638959513147239988861837901112,287.98699378967285
235,11101011,111111011000000111110111011100111001011010000011010011000111011011000101111001011001011000100111010000100010010001000101011100001100000011011010010110100000100101,5789092068864820527338372482892113982249794889765,291.1345958709717
236,11101100,1100110100010111100011101101000110011011000101100010111001011110111100101011010111011100001100001101001110100000011011000100000000111111011010110110110010101011101,9366947731425726508977331996039353971111632790877,293.6053276062012
237,11101101,10100101111011000100010101000101101100110010101111101010010011010010101011010100010100111010001000111010010110010100011101111100010011111110110001001100110110000010,15156039800290547036315704478931467953361427680642,280.20334243774414
238,11101110,100001100011110000000110010101110100000001011011100000001011111001010010000101111010000011011101010100100001010010111110110011100011011111010001000000011001011011111,24522987531716273545293036474970821924473060471519,308.0146312713623
239,11101111,110110010011001000101000111110100001100111110001011101011110010011100111100000011100101010101110011011110100000101100010100011000101111111000111001010000000001100001,39679027332006820581608740953902289877834488152161,301.8336296081543
240,11110000,1010111110110111000101111010100010101101001001100111101101010001100111001100110010110101110001011110000010101011000100001010110101001011110011000001010011001101000000,64202014863723094126901777428873111802307548623680,308.65955352783203
241,11110001,10001110001010000001011000010010110111010000111110011011001000100000100001000110110011011000111010001100001001011110000011111001101111011101011111010100011001110100001,103881042195729914708510518382775401680142036775841,326.34449005126953
242,11110010,11100110000000111010000111100111001100111010001011011000110010101101011010101101001010000111000101111100011110110110100101010000011000111011110111011110110011011100001,168083057059453008835412295811648513482449585399521,326.45606994628906
243,11110011,101110100001010111011011111111010000100001011001001110011111011001101111011110011111101100000000000001000101000010100101001001010001000011001010110110011001101010000010,271964099255182923543922814194423915162591622175362,328.7162780761719
244,11110100,1001011010001011110101100111100001010001000101010101001100101101111011010110100001000111100111000110000101000111001011001110011010100001010101001110010010000000101100011,440047156314635932379335110006072428645041207574883,322.023868560791
245,11110101,1111001110010110110001000111011011010101010000011111000000101001001001010010010101000101000111000110001101101111011111110111100100101001101110100101000101001101111100101,712011255569818855923257924200496343807632829750245,314.9387836456299
246,11110110,11000101000100010100110101110111100100110010101110100001101010111000100101000110110001100101110001100010010110110101011000101111111001011000011110011010111001110101001000,1152058411884454788302593034206568772452674037325128,320.418119430542
247,11110111,100111110110111001010111110110010111111011100110010011001110000000001101111011001011010001110101010010100000100110001010111101100011110100110010011000011100011100100101101,1864069667454273644225850958407065116260306867075373,330.49798011779785
248,11111000,1000000011111011011111110100101010100100001111100000111011011010111010010100100000001011110100011011110110011011100110110000011100010111111110110001011110011101011001110101,3016128079338728432528443992613633888712980904400501,343.98555755615234
249,11111001,1101000010110010101010110011011101100011101100010011010101001010111100000011111001100110000011000110001010100000011000001000001000110110100101000100100010000000111110100010,4880197746793002076754294951020699004973287771475874,364.26258087158203
250,11111010,10101000110101110001010101000001000000111111011110100010000100101110110011000011001110001110111100010000000111011111110111000100101001110100011110110000000011110011000010111,7896325826131730509282738943634332893686268675876375,348.0815887451172
251,11111011,100010001001100000110101011011100101101011101000000111100101110000110010011100010011010111111010101000001011011100010111000000101110000101001000111010100010011111010110111001,12776523572924732586037033894655031898659556447352249,347.9909896850586
252,11111100,110111010000001111000000000011101101110011100011111011110110010110101000110100101101001001110010001010001100011000010101111001010011010011101100110000100010111101101111010000,20672849399056463095319772838289364792345825123228624,360.3653907775879
253,11111101,1011001011001101111110101011111010011011111001100000011011100000111011011010001000000100001101100110010010111110100101100111010000001011000110101101011000101011101000110001001,33449372971981195681356806732944396691005381570580873,371.5195655822754
